stock_id,超大单,大单,中单,小单
SH600000,6,9,3,1
SH600004,-3,-8,-6,0
SH600006,1,2,5,1
SH600007,0,-1,-1,0
SH600008,0,0,0,0
SH600009,0,8,6,3
SH600010,-3,-3,-3,0
SH600011,0,-3,0,2
SH600012,4,0,2,1
SH600015,2,-7,-2,0
SH600016,18,4,1,0
SH600017,-5,-12,-1,-1
SH600018,5,-5,5,2
SH600019,-3,-3,-1,0
SH600020,1,-6,-1,-1
SH600021,-1,-5,2,1
SH600022,6,1,1,1
SH600023,4,14,1,0
SH600026,-2,-7,-3,-3
SH600027,1,8,-6,2
SH600028,-1,0,-2,0
SH600029,10,-1,-1,-3
SH600030,2,2,-1,2
SH600031,5,3,0,-1
SH600033,-1,-12,1,1
SH600035,0,3,12,0
SH600036,-2,-1,0,0
SH600037,-2,-6,-5,0
SH600038,0,-7,0,2
SH600039,3,-1,1,0
SH600048,-1,-2,-1,1
SH600051,0,2,3,-2
SH600052,0,3,-8,-4
SH600053,1,-1,7,-2
SH600054,0,1,20,-4
SH600055,2,0,7,2
SH600056,-2,0,0,-3
SH600057,0,-4,-4,-1
SH600058,0,-1,-8,0
SH600059,0,1,-1,5
SH600060,2,0,2,-1
SH600061,2,0,5,0
SH600062,3,12,5,1
SH600063,2,-1,1,3
SH600064,0,-3,0,0
SH600066,6,-3,-1,1
SH600067,1,4,-6,-2
SH600068,-3,-5,-1,0
SH600069,2,-1,-2,0
SH600070,0,4,4,9
SH600071,0,2,1,-2
SH600072,-3,2,1,-1
SH600073,-1,5,5,-2
SH600074,2,-2,7,-2
SH600075,1,-6,3,1
SH600076,3,6,1,1
SH600077,2,2,-2,-3
SH600078,1,0,-3,1
SH600079,-1,-7,0,-1
SH600080,-1,-4,-3,-3
SH600081,0,1,13,1
SH600082,1,-2,5,-1
SH600083,0,-3,0,2
SH600084,-1,-3,1,2
SH600085,-2,-7,2,0
SH600086,5,3,4,1
SH600088,0,-3,-3,-1
SH600089,-1,2,0,0
SH600090,0,-2,1,4
SH600091,1,0,-3,-1
SH600093,0,-1,-5,-5
SH600094,2,-2,-2,1
SH600095,2,-3,2,2
SH600096,1,-3,-1,0
SH600097,0,10,6,-1
SH600098,1,5,-2,1
SH600099,1,4,-7,-1
SH600100,5,-4,-4,0
SH600101,1,11,7,2
SH600103,1,-1,-3,-2
SH600104,5,-2,0,0
SH600105,0,-1,-4,-2
SH600106,0,-1,4,0
SH600107,3,1,1,-2
SH600108,0,-10,9,0
SH600109,4,0,-1,0
SH600110,12,1,0,0
SH600111,0,-6,4,-1
SH600112,-1,-4,-3,-3
SH600113,0,-12,0,1
SH600114,6,-1,-1,-3
SH600115,-9,-4,0,0
SH600116,2,-2,3,0
SH600117,0,-2,-6,1
SH600118,1,-5,-3,0
SH600119,5,-1,1,0
SH600120,1,1,0,-1
SH600121,1,-1,-4,-3
SH600122,3,2,2,0
SH600123,-2,-2,-1,0
SH600125,5,-1,2,1
SH600126,2,1,-1,3
SH600127,1,1,-3,0
SH600128,1,5,-1,4
SH600129,1,0,3,-3
SH600130,1,-2,0,-2
SH600131,0,4,-1,2
SH600132,0,0,0,-1
SH600133,0,4,9,0
SH600135,0,0,0,0
SH600137,0,3,-3,7
SH600138,5,6,2,4
SH600139,1,1,-4,-1
SH600141,4,2,2,1
SH600148,-2,3,1,-1
SH600149,0,0,0,0
SH600150,2,-4,-3,0
SH600152,0,-1,-1,-1
SH600153,1,10,-1,1
SH600155,0,0,0,0
SH600156,0,1,-1,-1
SH600157,-1,-5,-4,-1
SH600159,0,0,0,0
SH600160,0,-3,-3,-1
SH600161,-1,4,4,0
SH600162,-2,4,5,0
SH600163,0,-3,-3,-1
SH600165,1,-3,-1,0
SH600166,2,1,6,2
SH600167,0,-1,5,-4
SH600169,-3,10,-3,-1
SH600170,3,-8,2,-4
SH600171,1,3,7,0
SH600172,0,-9,1,1
SH600175,0,2,7,-2
SH600176,4,1,0,0
SH600177,5,11,2,-1
SH600178,2,1,2,0
SH600179,1,3,3,0
SH600180,0,11,-3,-1
SH600182,0,0,-6,2
SH600183,1,-2,0,0
SH600184,0,-6,-3,0
SH600185,-1,0,2,4
SH600186,-1,2,0,0
SH600187,-4,-8,0,1
SH600188,-2,-5,-4,0
SH600189,-1,2,3,3
SH600190,1,-4,1,1
SH600191,0,10,13,0
SH600192,-1,-1,1,-4
SH600193,0,4,5,-2
SH600195,0,6,6,3
SH600196,-10,-1,2,0
SH600197,0,-2,1,0
SH600198,4,-3,0,2
SH600199,-1,1,0,1
SH600200,1,1,0,1
SH600201,-1,-2,-1,1
SH600202,6,4,0,-1
SH600203,0,1,6,-2
SH600206,3,-5,1,-4
SH600207,0,8,3,-1
SH600208,2,-3,3,1
SH600209,-1,-3,1,0
SH600210,-1,0,0,-4
SH600211,0,-4,-1,-5
SH600212,-1,0,-4,-2
SH600213,0,-1,-1,3
SH600215,3,0,-4,0
SH600216,-1,5,-2,-1
SH600217,3,-1,-2,-3
SH600218,-1,1,5,-2
SH600219,-1,2,0,0
SH600220,1,0,-3,3
SH600221,2,-5,-3,1
SH600222,0,3,-7,1
SH600223,2,3,-3,1
SH600226,4,4,1,0
SH600227,0,1,6,4
SH600229,0,-2,0,-1
SH600230,0,0,0,0
SH600231,3,4,0,2
SH600232,0,2,-2,5
SH600233,0,4,1,0
SH600234,0,-1,-3,2
SH600235,0,5,8,2
SH600236,0,0,-7,2
SH600237,0,-1,5,1
SH600238,0,-1,-1,-9
SH600240,1,0,-2,0
SH600241,0,0,5,1
SH600242,2,1,-1,1
SH600243,-2,5,-1,1
SH600246,0,0,0,0
SH600247,0,-4,-3,-2
SH600248,-1,-5,-1,4
SH600249,2,5,-2,0
SH600250,0,-6,1,2
SH600251,0,-1,8,4
SH600252,3,2,8,2
SH600256,2,-8,2,-1
SH600257,0,4,7,-4
SH600258,1,7,3,0
SH600259,-1,1,3,2
SH600260,-7,-4,-1,1
SH600261,0,7,1,-1
SH600262,2,-2,1,0
SH600266,0,0,0,0
SH600267,1,-5,-9,2
SH600268,1,4,5,-1
SH600269,4,4,5,2
SH600270,-5,0,0,0
SH600271,-6,0,-9,-2
SH600272,0,3,0,3
SH600273,1,10,2,0
SH600275,1,-2,0,0
SH600276,2,-2,-4,1
SH600278,0,2,6,1
SH600279,0,-1,-1,1
SH600280,4,1,4,-2
SH600281,0,-3,-6,-4
SH600282,-1,-6,-1,-3
SH600283,2,4,3,2
SH600284,2,2,10,-3
SH600285,0,1,4,-4
SH600287,0,3,-2,-4
SH600288,0,1,2,0
SH600289,5,4,-4,-2
SH600290,5,0,-4,0
SH600291,1,5,0,-5
SH600292,0,0,18,1
SH600293,0,-6,1,3
SH600295,0,0,1,4
SH600297,0,-3,9,5
SH600298,-1,0,-1,1
SH600299,-1,-2,-4,4
SH600300,0,-2,-9,2
SH600301,0,0,0,-2
SH600302,0,-3,2,-4
SH600303,0,6,5,2
SH600305,0,6,8,5
SH600306,0,2,2,1
SH600307,4,-10,-3,0
SH600308,2,16,4,-1
SH600309,-3,1,-1,0
SH600310,0,0,-5,2
SH600311,1,0,0,6
SH600312,2,-3,-2,0
SH600313,0,6,-2,1
SH600315,-1,-9,-4,1
SH600316,3,2,0,0
SH600317,-4,-9,0,0
SH600319,1,3,6,-3
SH600320,0,-1,2,-2
SH600321,2,-3,2,2
SH600322,0,0,0,0
SH600323,1,-1,0,5
SH600325,-1,-8,-2,0
SH600326,-5,-5,-3,0
SH600327,1,9,7,-6
SH600328,0,1,0,6
SH600329,4,1,1,-1
SH600330,0,-1,2,-2
SH600331,-1,11,-2,1
SH600332,1,2,0,-2
SH600333,1,-1,0,-1
SH600335,1,4,-2,2
SH600336,0,-1,3,1
SH600337,0,-3,-1,1
SH600338,3,4,-2,-2
SH600339,0,-1,2,4
SH600340,0,0,0,0
SH600343,0,10,0,-1
SH600345,0,0,-4,-5
SH600346,-1,-12,-3,1
SH600348,4,-6,-1,0
SH600350,1,-9,-5,0
SH600351,0,3,13,-3
SH600352,-1,13,-2,-1
SH600353,3,-2,-1,-1
SH600354,0,3,1,5
SH600355,1,4,2,0
SH600356,0,2,-3,-2
SH600359,0,0,0,1
SH600360,-1,1,3,0
SH600361,1,1,3,-2
SH600362,4,0,1,0
SH600363,-5,6,0,0
SH600365,0,-3,-5,-1
SH600366,0,0,2,-3
SH600367,1,2,-5,3
SH600368,-2,-7,-1,1
SH600369,2,11,3,-1
SH600370,1,7,8,-3
SH600371,0,2,7,2
SH600372,3,0,3,-1
SH600373,1,5,5,-1
SH600376,0,0,0,0
SH600377,1,-2,5,-7
SH600378,0,6,3,4
SH600379,2,7,3,-1
SH600380,0,-2,-6,-1
SH600381,0,-3,-2,2
SH600382,3,2,2,-2
SH600383,1,4,-1,-1
SH600385,0,-2,5,-2
SH600386,0,5,-4,-4
SH600389,0,-1,8,6
SH600390,0,2,-1,0
SH600391,1,-2,2,2
SH600392,-3,-2,-2,0
SH600393,2,5,2,4
SH600395,1,7,1,0
SH600396,0,-3,-9,1
SH600397,2,7,-6,2
SH600398,1,1,9,0
SH600399,0,2,-3,0
